#{"t_start": 1760637054.371827, "env_id": "None"}
r,l,t
5.100001,187,11627.716233
2.1,153,11630.574628
0.10000004,205,11633.886471
3.1,124,11636.221346
3.1,248,11738.91308
2.0999992,209,11742.46256
3.0999997,169,11745.411102
2.0999997,170,11748.25843
4.1000004,213,11751.720893
1.1,226,11755.251083
0.10000007,91,11757.30504
0.1,133,11759.715917
4.100001,227,11763.332443
2.1,168,11766.277143
1.0999998,55,11767.826873
3.1,200,11771.169909
4.1,153,11874.837765
4.100001,171,11877.870298
2.1,167,11880.942713
0.10000001,141,11883.473286
1.0999999,153,11886.291871
3.0999994,174,11889.101714
3.0999997,176,11892.367909
2.1,160,11895.11629
4.1,269,11899.085171
-0.9,45,11900.605324
4.100001,144,11903.593976
6.100001,293,11907.887575
2.0999997,147,12011.383121
1.0999999,130,12013.968858
2.1,207,12017.246989
1.0999999,222,12021.025296
3.0999997,205,12024.432527
2.0999997,162,12027.266538
-0.9,36,12028.821506
1.0999998,179,12032.072818
4.1000004,212,12035.589584
2.1,212,12039.069798
4.100001,180,12042.216952
3.0999997,164,12045.234163
2.0999997,131,12149.299965
3.1,182,12152.464958
3.1000009,430,12158.32207
1.0999999,134,12160.821801
1.0999999,47,12162.546873
1.0999998,102,12164.877449
4.1,160,12167.764112
2.0999997,153,12170.703294
6.100001,219,12174.486811
5.100001,153,12177.271787
0.10000007,153,12180.037343
3.0999997,174,12183.257669
3.1,180,12287.402904
1.0999998,154,12290.192119
2.1,198,12293.630193
2.0999997,155,12296.369658
6.100001,232,12299.990293
1.0999998,159,12303.076937
2.1,63,12304.975364
2.0999997,114,12307.336701
1.0999999,44,12309.12003
3.1000001,248,12313.057702
2.0999997,114,12315.501891
4.100001,248,12319.347967
4.100001,214,12424.236186
3.0999997,172,12427.41417
1.0999998,43,12428.901406
1.0999998,164,12431.805453
2.1,185,12435.024351
2.0999997,160,12437.914037
4.100001,186,12440.916095
2.1,210,12444.484937
5.100001,283,12448.734036
2.0999997,177,12451.732008
0.100000024,108,12454.206097
1.0999999,175,12457.109941
3.0999997,202,12559.822351
5.100001,152,12562.684918
3.1000006,404,12568.090393
3.0999997,190,12571.117325
2.0999997,199,12574.522424
2.0999994,97,12576.791402
4.100001,184,12579.961807
3.0999997,42,12581.573627
2.0999997,145,12584.436125
4.1000004,155,12587.103549
2.1,140,12589.810773
2.0999997,85,12591.851413
1.0999999,161,12594.869432
4.100001,196,12701.475022
2.1,151,12704.291307
3.0999997,245,12708.127398
3.1,161,12710.979632
7.1000004,255,12715.400779
1.0999999,144,12718.009278
2.1,138,12720.688765
3.1,141,12723.430659
1.0999999,36,12724.961854
1.0999999,167,12728.011778
2.1,92,12730.087376
2.1000004,282,12734.45668
5.100001,183,12837.425868
2.0999997,171,12840.521803
2.1,170,12843.761171
1.0999998,217,12847.10532
3.0999997,175,12850.102007
5.100001,193,12853.341629
2.1,188,12856.450991
2.1,156,12859.281147
5.100001,174,12862.280198
1.1,51,12863.883278
5.1000004,133,12866.58515
3.0999994,181,12869.603997
1.0999999,155,12972.570138
2.1,190,12975.793496
2.1,167,12978.764004
4.100001,148,12981.438467
2.0999994,162,12984.492121
2.1000009,433,12990.211121
3.0999997,160,12993.39435
3.1,144,12995.96949
2.1,139,12998.661618
0.10000003,186,13001.759523
6.100001,196,13005.272612
2.0999997,157,13115.605959
3.1,175,13118.614905
5.100001,169,13121.685398
4.1000004,181,13124.763275
5.100001,229,13128.540949
4.1000004,150,13131.305571
4.100001,193,13134.626613
5.1000004,182,13137.802206
6.100001,153,13140.926522
1.0999998,245,13145.046455
2.1,238,13148.969497
1.0999999,137,13253.700492
4.1000004,191,13256.74955
3.0999997,164,13259.766228
5.100001,130,13262.320146
4.100001,227,13266.008098
2.0999997,138,13268.642351
1.0999999,176,13271.824215
3.0999997,169,13274.880167
5.1000004,158,13277.672668
4.100001,164,13280.597788
2.0999994,144,13283.370076
3.1,155,13286.276868
3.1,178,13389.496858
4.100001,235,13393.596123
3.1,216,13396.888522
4.1000004,212,13400.282034
5.100001,445,13406.47655
2.1,251,13410.247017
4.1000004,163,13413.268957
1.0999998,143,13416.101252
2.0999997,146,13418.711143
2.1,152,13421.481043
1.0999998,219,13525.715449
2.1,143,13528.720037
2.0999997,158,13531.537814
4.100001,170,13534.460012
3.0999997,166,13537.76832
3.1,157,13541.251331
1.0999998,169,13544.29228
2.0999997,122,13546.895823
4.100001,245,13550.490641
3.0999997,208,13554.071559
4.1000004,214,13557.570213
3.0999994,149,13661.243444
0.10000001,158,13664.827727
4.100001,193,13668.517159
2.0999997,73,13670.514951
4.100001,215,13674.885873
2.0999997,163,13677.649288
0.10000004,73,13679.52112
6.1000004,163,13682.587932
4.100001,154,13685.464983
2.1,165,13688.238863
5.1000004,147,13690.969416
4.100001,170,13693.996315
2.0999997,155,13696.824894
5.100001,439,13805.40195
4.100001,189,13808.607903
4.1000004,162,13812.015374
5.100001,173,13815.295056
2.1,156,13817.934377
4.1000004,162,13820.932471
4.1000004,138,13823.587837
6.1000004,175,13826.756126
3.1,142,13829.247729
4.100001,214,13832.774945
3.0999997,181,13836.009817
5.100001,253,13941.46304
1.0999998,43,13943.258954
1.0999998,200,13946.655557
4.1,183,13949.876488
4.100001,163,13952.833892
6.1000004,165,13955.931648
6.1000004,213,13959.296188
4.1000004,142,13961.970698
3.0999997,177,13965.274751
2.1,162,13968.28313
2.0999994,145,13971.048078
3.1,141,13973.821167
0.10000003,173,13976.823403
6.1000004,105,14081.095458
5.1000004,168,14084.238348
3.0999997,175,14087.261277
2.1,187,14090.570566
3.0999997,201,14094.058772
3.0999994,147,14096.881369
1.0999998,162,14099.591474
1.0999999,270,14103.884635
4.100001,237,14107.516626
4.1000004,141,14110.234332
3.1,199,14113.432405
3.0999997,159,14216.757798
3.1,189,14219.919441
3.1,199,14223.92165
3.1,142,14227.040536
4.100001,153,14229.941053
4.1,179,14233.023687
2.1,146,14235.744304
3.1,136,14238.400986
2.1,143,14241.141617
2.1,149,14244.086248
0.10000006,99,14246.339295
4.1000004,155,14249.059402
4.1000004,189,14252.256216
3.1,148,14358.331618
4.100001,159,14361.490623
6.1000004,165,14364.596793
0.100000024,33,14366.138859
3.0999997,164,14368.941555
0.10000007,36,14370.378202
5.100001,184,14373.64981
3.0999997,163,14376.427735
1.0999999,193,14379.720176
3.1,154,14382.982923
4.100001,171,14385.982441
0.100000024,138,14388.759257
5.1000004,191,14391.766133
2.1,135,14394.586948
4.100001,393,14501.991972
1.0999999,187,14505.095007
3.0999997,148,14507.877685
2.1,206,14511.352831
5.1000004,217,14514.932845
2.1,133,14517.607999
3.1,166,14520.413372
1.0999999,140,14523.362944
4.1000004,182,14526.579206
1.1000001,200,14529.836537
4.100001,187,14633.072247
7.1000004,160,14636.138535
3.1,159,14638.847592
0.100000024,36,14640.491061
0.099999994,252,14644.322355
2.1,197,14647.631217
5.1000004,136,14650.335102
2.1,138,14652.814797
3.0999992,219,14656.45255
4.1000004,187,14659.48749
2.0999997,168,14662.476703
4.100001,147,14665.341772
1.0999999,210,14668.779386
4.1000004,143,14771.723225
0.10000003,106,14774.229967
4.100001,181,14777.219873
4.1000004,208,14780.623517
4.1000004,121,14783.06132
0.10000007,181,14786.361718
3.1,236,14790.182219
1.0999998,162,14793.022839
5.1000004,190,14796.441014
2.1,144,14799.206206
2.0999994,203,14802.421162
1.0999999,39,14804.0601
2.1,102,14806.443297
3.0999994,145,14910.407055
-0.9,30,14912.053731
3.0999997,87,14914.128102
5.1000004,252,14918.005778
4.100001,261,14922.008507
3.1,219,14925.610663
2.1,244,14929.323457
1.0999998,176,14932.294286
2.1,168,14935.552639
3.1,165,14938.330321
4.1000004,135,14941.097874
3.0999997,158,14943.981595
2.1,197,15051.923385
4.100001,222,15055.597804
1.0999998,183,15058.746788
3.1,175,15061.642761
1.0999999,168,15064.89264
2.1,202,15068.325365
2.0999994,153,15071.046086
3.1,176,15074.143908
4.100001,197,15077.346944
2.1,165,15080.202173
1.0999998,170,15083.321763
1.0999999,228,15187.59186
3.0999992,214,15191.142321
4.1000004,150,15193.974754
3.1,190,15197.23494
2.1,53,15198.883976
2.1,153,15201.555761
3.0999994,161,15204.713135
3.0999997,189,15208.091972
3.1,174,15210.980356
0.100000024,36,15212.536108
4.100001,148,15215.428682
5.100001,197,15218.819426
3.0999997,160,15221.547237
3.1,191,15325.444052
4.1000004,168,15328.535686
2.1,35,15330.019264
3.1,187,15333.198707
2.0999997,85,15335.353406
2.0999994,153,15338.093843
4.1000004,182,15341.124626
2.0999997,190,15344.456557
2.1,137,15346.998098
5.100001,160,15349.918794
4.100001,185,15353.094684
3.0999997,165,15356.081576
4.1,204,15359.46288
5.100001,224,15463.256209
2.1,220,15466.946458
5.1000004,169,15469.814567
4.1000004,198,15473.901878
3.0999997,178,15477.073958
4.1000004,177,15479.942062
2.1,145,15482.703361
1.0999999,37,15484.227821
2.0999997,167,15487.175617
5.1000004,184,15490.360933
5.100001,163,15493.299092
2.0999997,138,15495.980964
6.1000004,144,15498.709539
2.1,140,15603.998113
2.0999997,52,15605.727171
3.1,144,15608.915752
3.0999997,180,15611.949903
4.1,155,15615.137581
3.1,147,15617.825404
3.1,141,15620.542646
3.1,171,15623.472591
2.0999997,168,15626.717739
0.10000003,216,15630.353132
4.1000004,178,15633.346403
4.1000004,143,15636.254931
4.100001,170,15639.101832
4.100001,190,15743.303335
3.1,323,15748.127426
3.0999997,88,15750.275716
5.100001,194,15753.512376
2.1,147,15756.397768
4.1,161,15759.359546
4.100001,181,15762.387508
0.10000005,147,15765.273343
3.1,178,15768.221028
4.1000004,175,15771.304902
3.1,141,15774.307348
2.0999997,166,15777.179718
4.100001,221,15880.973713
3.0999997,191,15884.358276
1.0999999,260,15888.366944
2.1,226,15891.947792
